"file","test","failed","skipped","error","warning","passed"
"test-survivalPower-release-review.R","Weibull treatment scale encodes proportional hazards",0,FALSE,FALSE,0,9
"test-survivalPower-release-review.R","Simulator accepts the parameter names the getter actually returns",0,FALSE,FALSE,0,9
"test-survivalPower-release-review.R","Simulated Weibull data recovers the requested median",0,FALSE,FALSE,0,3
"test-survivalPower-release-review.R","Seeded simulation validation is reproducible",0,FALSE,FALSE,0,1
"test-survivalPower-release-review.R","Simulated power agrees with the analytical power it validates",0,FALSE,FALSE,0,2
"test-survivalPower-release-review.R","Schoenfeld event counts match gsDesign",0,FALSE,FALSE,0,4
"test-survivalPower-release-review.R","Event probability matches numerical integration over accrual",0,FALSE,FALSE,0,3
"test-survivalPower-reporting.R","narrative output reports the hazard ratio the analysis actually used",0,FALSE,FALSE,0,7
"test-survivalPower-reporting.R","a multi-arm trial is sized as a trial, not as one pairwise comparison",0,FALSE,FALSE,0,6
"test-survivalPower-reporting.R","total study power is a probability, not an invented multiplier",0,FALSE,FALSE,0,9
"test-survivalPower-reporting.R","the copy-ready sentence states the test that was actually run",0,FALSE,FALSE,0,6
"test-survivalPower-reporting.R","regulatory guidance matches the convention for the test being run",0,FALSE,FALSE,0,6
"test-survivalPower-reporting.R","plots are drawn for the design that was reported",0,FALSE,FALSE,0,11
"test-survivalPower-reporting.R","analysis-specific interpretation and detail tables are populated",0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","an unreachable event target explains itself",0,FALSE,FALSE,0,3
"test-survivalPower-reporting.R","the glossary describes the allocation ratio the code implements",0,FALSE,FALSE,0,3
"test-survivalPower-reporting.R","Cox honours the same design adjustments as log-rank",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","non-uniform accrual is refused rather than silently treated as uniform",0,FALSE,FALSE,0,7
"test-survivalPower-reporting.R","simulation validation runs only for the test it actually simulates",0,FALSE,FALSE,0,3
"test-survivalPower-reporting.R","the Monte Carlo loop is interruptible and a restart is not swallowed",0,FALSE,FALSE,0,7
"test-survivalPower-reporting.R","count options reject fractional values at the option boundary",0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","the narrative interpretation panel is off unless requested",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","the educational panel states clinically correct definitions",0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","the guided workflow does not claim progress it cannot observe",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","the sensitivity plot draws its base-case highlight",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","sensitivity scenarios are compared like with like",0,FALSE,FALSE,0,3
"test-survivalPower-review-fixes.R","multi-arm whole-study and comparison events use their actual populations",0,FALSE,FALSE,0,56
"test-survivalPower-review-fixes.R","NI interpretation describes power without promising a conclusion",0,FALSE,FALSE,0,9
"test-survivalPower-review-fixes.R","NI effect inversion ignores the unused starting HR but keeps feasibility guards",0,FALSE,FALSE,0,15
"test-survivalPower-review-fixes.R","joint fixed power integrates the correct two-sided or NI region",0,FALSE,FALSE,0,28
"test-survivalPower-review-fixes.R","sequential multi-arm family power is withheld with a visible explanation",0,FALSE,FALSE,0,9
"test-survivalPower-review-fixes.R","analytical multi-arm calculations preserve present and absent RNG states",0,FALSE,FALSE,0,3
"test-survivalPower-review-fixes.R","numeric cache reuses identical requests and separates changed inputs",0,FALSE,FALSE,0,9
"test-survivalPower-review-fixes.R","affected messages have complete Turkish entries and matching placeholders",0,FALSE,FALSE,0,162
"test-survivalPower-review-fixes.R","translated NI reports retain numeric results and complete localized sentences",0,FALSE,FALSE,0,5
"test-survivalPower-simulation.R","Simulation validation integrates correctly with sample size calculation",0,FALSE,FALSE,0,6
"test-survivalPower-simulation.R","Non-exponential distributions are refused, not silently mis-computed",0,FALSE,FALSE,0,9
"test-survivalPower-simulation.R","Exponential remains selectable and unaffected by the distribution gate",0,FALSE,FALSE,0,2
"test-survivalPower-simulation.R","Simulation validation works with power calculation",0,FALSE,FALSE,0,1
"test-survivalPower-simulation.R","Simulation validation is skipped when not requested",0,FALSE,FALSE,0,1
"test-survivalPower-ui-bindings.R","survivalPower UI bindings use supported operators and existing controls",0,FALSE,FALSE,0,74
"test-survivalPower-ui-bindings.R","the installed jamovi client enables the intended survivalPower controls",0,FALSE,FALSE,0,4
"test-survivalPower.R","survivalPower function exists and basic functionality works",0,FALSE,FALSE,0,3
"test-survivalPower.R","Log-rank test: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Log-rank test: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Log-rank test: Effect size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Log-rank test: Duration calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Cox regression: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Cox regression: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Non-inferiority: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Non-inferiority: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Parameter validation: Exponential distribution requirement",0,FALSE,FALSE,0,2
"test-survivalPower.R","Parameter validation: Effect size bounds",0,FALSE,FALSE,0,5
"test-survivalPower.R","Parameter validation: Alpha level bounds",0,FALSE,FALSE,0,1
"test-survivalPower.R","Parameter validation: Power level bounds",0,FALSE,FALSE,0,1
"test-survivalPower.R","Allocation ratio: Unequal allocation (2:1) works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Allocation ratio: Unequal allocation (1:2) works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Dropout handling: Annual dropout rate accounted for",0,FALSE,FALSE,0,1
"test-survivalPower.R","KNOWN LIMITATION: Competing risks test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","KNOWN LIMITATION: RMST test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","KNOWN LIMITATION: SNP survival test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","KNOWN LIMITATION: Weighted log-rank test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","Edge case: Very high power (0.95) works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Edge case: Small effect size (HR=0.90) requires large sample",0,FALSE,FALSE,0,1
"test-survivalPower.R","Edge case: Large effect size (HR=0.50) requires small sample",0,FALSE,FALSE,0,1
