"file","context","test","nb","failed","skipped","error","warning","passed"
"test-survivalPower-reporting.R","survivalPower-reporting","simulation validation runs only for the test it actually simulates",3,0,FALSE,FALSE,0,3
"test-survivalPower-reporting.R","survivalPower-reporting","the Monte Carlo loop is interruptible and a restart is not swallowed",7,0,FALSE,FALSE,0,7
"test-survivalPower-reporting.R","survivalPower-reporting","count options reject fractional values at the option boundary",4,0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","survivalPower-reporting","the narrative interpretation panel is off unless requested",2,0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","survivalPower-reporting","the educational panel states clinically correct definitions",4,0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","survivalPower-reporting","the guided workflow does not claim progress it cannot observe",2,0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","survivalPower-reporting","the sensitivity plot draws its base-case highlight",2,0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","survivalPower-reporting","sensitivity scenarios are compared like with like",3,0,FALSE,FALSE,0,3
"test-survivalPower-simulation.R","survivalPower-simulation","Simulation validation integrates correctly with sample size calculation",6,0,FALSE,FALSE,0,6
"test-survivalPower-simulation.R","survivalPower-simulation","Non-exponential distributions are refused, not silently mis-computed",9,0,FALSE,FALSE,0,9
"test-survivalPower-simulation.R","survivalPower-simulation","Exponential remains selectable and unaffected by the distribution gate",2,0,FALSE,FALSE,0,2
"test-survivalPower-simulation.R","survivalPower-simulation","Simulation validation works with power calculation",1,0,FALSE,FALSE,0,1
"test-survivalPower-simulation.R","survivalPower-simulation","Simulation validation is skipped when not requested",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","survivalPower function exists and basic functionality works",3,0,FALSE,FALSE,0,3
"test-survivalPower.R","survivalPower","Log-rank test: Sample size calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Log-rank test: Power calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Log-rank test: Effect size calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Log-rank test: Duration calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Cox regression: Sample size calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Cox regression: Power calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Non-inferiority: Sample size calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Non-inferiority: Power calculation works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Parameter validation: Exponential distribution requirement",2,0,FALSE,FALSE,0,2
"test-survivalPower.R","survivalPower","Parameter validation: Effect size bounds",5,0,FALSE,FALSE,0,5
"test-survivalPower.R","survivalPower","Parameter validation: Alpha level bounds",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Parameter validation: Power level bounds",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Allocation ratio: Unequal allocation (2:1) works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Allocation ratio: Unequal allocation (1:2) works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Dropout handling: Annual dropout rate accounted for",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: Competing risks test not implemented",2,0,FALSE,FALSE,0,2
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: RMST test not implemented",2,0,FALSE,FALSE,0,2
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: SNP survival test not implemented",2,0,FALSE,FALSE,0,2
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: Weighted log-rank test not implemented",2,0,FALSE,FALSE,0,2
"test-survivalPower.R","survivalPower","Edge case: Very high power (0.95) works",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Edge case: Small effect size (HR=0.90) requires large sample",1,0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower","Edge case: Large effect size (HR=0.50) requires small sample",1,0,FALSE,FALSE,0,1
